Title,Image,Address,Area,Distance,Dist_to_Airport,Score,Rating,add_info,add_info2,add_info3,add_info4,Price,Description,Room
Inn At Union Square,https://exp.cdn-hotels.com/hotels/1000000/10000/1600/1511/e1013791_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,440 Post St San Francisco 94102 CA,Union Square,0.1 miles to city center,12 miles to San Francisco International Airport (SFO),9.4,Exceptional,,,,,$176 ,Boutique hotel within easy reach of SHN Curran Theatre,Superior Room 1 Queen Bed
Castle Inn,https://exp.cdn-hotels.com/hotels/1000000/880000/873100/873039/96a81eae_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,1565 Broadway San Francisco 94109 CA,Nob Hill,1.0 mile to city center,13 miles to San Francisco International Airport (SFO),8.8,Fabulous,Free parking,Connecting rooms available,,,$980 ,City-center hotel within easy reach of Lombard Street,Superior Room
Sonesta Select San Francisco Airport Oyster Point Waterfront,https://exp.cdn-hotels.com/hotels/1000000/550000/548400/548380/d1f5b3d8_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,1300 Veterans Way South San Francisco 94080 CA,Oyster Point,8.4 miles to city center,3.5 miles to San Francisco International Airport (SFO),8.6,Fabulous,Pool,Parking available,Pet-friendly,Airport transfer,$139 ,3-star hotel in South San Francisco with indoor pool and restaurant,Deluxe Room 1 King Bed with Sofa bed
Club Quarters Hotel in San Francisco,https://exp.cdn-hotels.com/hotels/1000000/920000/913000/912982/832c79fe_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,424 Clay St San Francisco 94111 CA,Financial District,0.7 miles to city center,12 miles to San Francisco International Airport (SFO),8.4,Very Good,Pet-friendly,Gym,Restaurant,Connecting rooms available,$229 ,4-star hotel with restaurant near Exploratorium ,Standard Room 1 Queen Bed
Inn San Francisco,https://exp.cdn-hotels.com/hotels/2000000/1150000/1145300/1145267/3ae7ddd9_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,943 South Van Ness Avenue San Francisco 94110 CA,Mission District,2.1 miles to city center,9.9 miles to San Francisco International Airport (SFO),9.6,Exceptional,Parking available,Parking available,Pet-friendly,Free breakfast,$185 ,Convenient to Twin Peaks,Small Room Full Size Bed Private Bath
YOTEL San Francisco,https://exp.cdn-hotels.com/hotels/20000000/19520000/19510300/19510249/367e099d_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,1095 Market St San Francisco 94103 CA,Mid-Market,0.5 miles to city center,11 miles to San Francisco International Airport (SFO),8.4,Very Good,Gym,,,,$183 ,City-center hotel within walking distance of Orpheum Theater,Basic Cabin (Solo Sky)
Hotel G San Francisco,https://exp.cdn-hotels.com/hotels/1000000/30000/24600/24540/5eb4d990_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,386 Geary Street San Francisco 94102 CA,Union Square,0.1 miles to city center,12 miles to San Francisco International Airport (SFO),8.2,Very Good,Gym,Restaurant,Internet access,Connecting rooms available,$161 ,4-star hotel with restaurant near Moscone Convention Center ,Deluxe Room 1 Queen Bed
San Francisco Marriott Marquis,https://exp.cdn-hotels.com/hotels/1000000/10000/8800/8737/2ac8a84b_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,780 Mission Street San Francisco 94103 CA,Downtown San Francisco,0.2 miles to city center,12 miles to San Francisco International Airport (SFO),8.6,Fabulous,Parking available,Pet-friendly,Gym,Restaurant,$289 ,4-star hotel with 2 restaurants near Moscone Convention Center ,Room 1 King Bed Non Smoking
Hotel EPIK,https://exp.cdn-hotels.com/hotels/57000000/56010000/56002500/56002425/1be72797_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,706 Polk Street San Francisco 94109 CA,Little Saigon,0.7 miles to city center,12 miles to San Francisco International Airport (SFO),,Good,Airport transfer,Restaurant,Bar,,$102 ,Hotel with restaurant near Van Ness Avenue ,
Stanford Court San Francisco,https://exp.cdn-hotels.com/hotels/7000000/6280000/6272000/6271901/97b02c06_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,905 California Street San Francisco 94108 CA,Nob Hill,0.3 miles to city center,12 miles to San Francisco International Airport (SFO),8.8,Fabulous,Parking available,Pet-friendly,Gym,Restaurant,$224 ,4-star hotel with restaurant near Grace Cathedral ,Standard Room 1 Queen Bed (Newly Renovated)
Hotel Triton,https://exp.cdn-hotels.com/hotels/1000000/10000/1200/1110/0fdb0ab1_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,342 Grant Ave San Francisco 94108 CA,Union Square,0.3 miles to city center,12 miles to San Francisco International Airport (SFO),8.4,Very Good,Pet-friendly,Gym,Restaurant,,$179 ,4-star hotel with restaurant near 555 California Street ,Deluxe Room 1 Double Bed
Hyatt Regency San Francisco,https://exp.cdn-hotels.com/hotels/1000000/30000/23800/23774/db16ae6b_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,5 Embarcadero Center San Francisco 94111 CA,Financial District,0.8 miles to city center,12 miles to San Francisco International Airport (SFO),8.6,Fabulous,Parking available,Pet-friendly,Gym,Restaurant,$248 ,Bayfront hotel with restaurant near Exploratorium ,Room 1 King Bed Accessible Bathtub
Hotel Zephyr San Francisco,https://exp.cdn-hotels.com/hotels/10000000/9870000/9868900/9868852/1e78b929_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,250 Beach Street San Francisco 94133 CA,North Beach,1.4 miles to city center,13 miles to San Francisco International Airport (SFO),8,Very Good,Parking available,Pet-friendly,Bathtub,Internet access,$209 ,4-star hotel connected to a shopping center within walking distance of Pier 39,Room 1 King Bed
Hotel Spero,https://exp.cdn-hotels.com/hotels/1000000/20000/12500/12493/07b56f09_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,405 Taylor St San Francisco 94102 CA,Union Square,0.2 miles to city center,12 miles to San Francisco International Airport (SFO),8.6,Fabulous,Pet-friendly,Gym,Restaurant,Bar,$199 ,4-star hotel with restaurant near Asian Art Museum of San Francisco ,Superior Room 1 Queen Bed (Queen Room)
The Clift Royal Sonesta Hotel,https://exp.cdn-hotels.com/hotels/1000000/30000/21100/21073/b5bcf762_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,495 Geary St San Francisco 94102 CA,Union Square,0.2 miles to city center,12 miles to San Francisco International Airport (SFO),8.8,Fabulous,Parking available,Pet-friendly,Spa,Gym,$250 ,4-star hotel with restaurant near SHN Curran Theatre ,Deluxe Room 1 King Bed
Villa Florence Hotel,https://exp.cdn-hotels.com/hotels/1000000/10000/5500/5425/fe00176c_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,225 Powell St San Francisco 94102 CA,Union Square,0.1 miles to city center,12 miles to San Francisco International Airport (SFO),,Good,Parking available,Gym,Bathtub,Internet access,$157 ,City-center hotel steps from Union Square ,Deluxe Room 1 King Bed
Holiday Inn Express San Francisco Airport South an IHG Hotel,https://exp.cdn-hotels.com/hotels/1000000/10000/2400/2336/88bef645_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,1250 Bayshore Hwy Burlingame 94010 CA,Burlingame,14 miles to city center,2.2 miles to San Francisco International Airport (SFO),8,Very Good,Parking available,Free breakfast,Connecting rooms available,,$114 ,Burlingame hotel on boardwalk,Standard Room 1 King Bed Accessible (Hearing Mobility)
Galleria Park Hotel,https://exp.cdn-hotels.com/hotels/1000000/30000/22400/22303/ba451360_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,191 Sutter St San Francisco 94104 CA,Financial District,0.3 miles to city center,12 miles to San Francisco International Airport (SFO),9,Superb,Parking available,Pet-friendly,Gym,Restaurant,$219 ,4-star hotel with restaurant near 555 California Street ,Standard Room 1 Queen Bed
Holiday Inn Express and Suites Fisherman's Wharf an IHG Hotel,https://exp.cdn-hotels.com/hotels/1000000/580000/578900/578899/2ebe265e_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,550 N Point St San Francisco 94133 CA,Fisherman's Wharf,1.4 miles to city center,13 miles to San Francisco International Airport (SFO),9,Superb,Parking available,Pet-friendly,Gym,Free breakfast,$185 ,3-star hotel convenient to Ghirardelli Square ,Standard Room 1 King Bed
Hotel Emblem San Francisco a Viceroy Urban Retreat,https://exp.cdn-hotels.com/hotels/1000000/10000/700/660/ec6466f7_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,562 Sutter St San Francisco 94102 CA,Union Square,0.2 miles to city center,12 miles to San Francisco International Airport (SFO),9,Superb,Parking available,Pet-friendly,Gym,Restaurant,$229 ,4-star hotel with restaurant near City Lights Booksellers ,Standard Room 1 Queen Bed
Larkspur Landing South San Francisco - An All-Suite Hotel,https://exp.cdn-hotels.com/hotels/1000000/290000/287700/287665/cd5db6b9_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,690 Gateway Blvd South San Francisco 94080 CA,The East Side,8.9 miles to city center,3.0 miles to San Francisco International Airport (SFO),8,Very Good,Parking available,Pet-friendly,Gym,Kitchen,$119 ,Suburban guestrooms in The East Side with kitchens,Studio Suite
Best Western Plus Grosvenor Airport Hotel,https://exp.cdn-hotels.com/hotels/1000000/10000/7700/7635/d6646af0_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,380 S Airport Boulevard South San Francisco 94080 CA,South San Francisco,9.9 miles to city center,2.1 miles to San Francisco International Airport (SFO),8.4,Very Good,Pool,Parking available,Airport transfer,Gym,$100 ,Suburban hotel in South San Francisco with restaurant and bar/lounge,Standard Room 2 Double Beds Non Smoking
La Quinta Inn & Suites by Wyndham San Francisco Airport West,https://exp.cdn-hotels.com/hotels/1000000/30000/27000/26945/e41886cd_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,1390 El Camino Real Millbrae 94030 CA,Millbrae,12 miles to city center,0.8 miles to San Francisco International Airport (SFO),8.6,Fabulous,Pool,Free parking,Pet-friendly,Airport transfer,$129 ,Millbrae hotel with outdoor pool and restaurant,Room 1 King Bed Non Smoking
Handlery Union Square Hotel,https://exp.cdn-hotels.com/hotels/1000000/10000/6700/6666/4fd95a3a_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,351 Geary St San Francisco 94102 CA,Union Square,0.1 miles to city center,12 miles to San Francisco International Airport (SFO),8.4,Very Good,Pool,Parking available,Pet-friendly,Gym,$159 ,Family-friendly hotel with outdoor pool near SHN Curran Theatre ,Standard Room 1 Double Bed
Holiday Inn Express San Francisco-Airport North an IHG Hotel,https://exp.cdn-hotels.com/hotels/1000000/860000/856900/856888/c6d8f6a0_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,373 S Airport Blvd South San Francisco 94080 CA,South San Francisco,9.9 miles to city center,2.1 miles to San Francisco International Airport (SFO),,Good,Parking available,Airport transfer,Gym,Bathtub,$115 ,No-frills South San Francisco guestrooms with comfy beds,Standard Room 1 King Bed (Extra Floor Space)
Red Roof Inn PLUS+ San Francisco Airport,https://exp.cdn-hotels.com/hotels/1000000/30000/28200/28200/52a90a3b_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,777 Airport Blvd Burlingame 94010 CA,Burlingame,14 miles to city center,2.8 miles to San Francisco International Airport (SFO),,Good,Pool,Parking available,Pet-friendly,Restaurant,$89 ,3-star Burlingame hotel with restaurant,Deluxe Room 2 Double Beds (Smoke Free)
The Mosser,https://exp.cdn-hotels.com/hotels/1000000/560000/553900/553859/1e7af868_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,54 4th Street San Francisco 94103 CA,Downtown San Francisco,0.2 miles to city center,12 miles to San Francisco International Airport (SFO),8,Very Good,Restaurant,Bar,,,$125 ,3-star hotel with restaurant near Moscone Convention Center ,Deluxe Room
Hyatt Regency San Francisco Downtown SOMA,https://exp.cdn-hotels.com/hotels/1000000/10000/500/491/76fc74a6_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,50 3rd St San Francisco 94103 CA,Union Square,0.3 miles to city center,12 miles to San Francisco International Airport (SFO),8.2,Very Good,Pet-friendly,Gym,Restaurant,Bar,$289 ,4-star hotel with restaurant near San Francisco Museum of Modern Art ,Room 2 Queen Beds Accessible Bathtub
Warfield Hotel,https://exp.cdn-hotels.com/hotels/18000000/17390000/17383200/17383168/648af0dc_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,118 Taylor St San Francisco 94102 CA,Downtown San Francisco,0.3 miles to city center,12 miles to San Francisco International Airport (SFO),,,Airport transfer,Bathtub,Internet access,,$81 ,City-center inn steps from Warfield Theater ,Standard Room 1 Queen Bed Shared Bathroom
Hotel 1550,https://exp.cdn-hotels.com/hotels/1000000/460000/455600/455591/3b83b473_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,1550 El Camino Real San Bruno 94066 CA,San Bruno,12 miles to city center,0.9 miles to San Francisco International Airport (SFO),8,Very Good,Free parking,Airport transfer,Bathtub,Connecting rooms available,$109 ,3.5-star hotel in San Bruno,Standard Single Room
Hotel VIA,https://exp.cdn-hotels.com/hotels/17000000/16820000/16819700/16819669/2b503a50_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,138 King St. San Francisco 94107 CA,China Basin,1.1 miles to city center,11 miles to San Francisco International Airport (SFO),8.8,Fabulous,Parking available,Gym,Bar,,$260 ,4-star hotel with 2 bars/lounges near Oracle Park ,South Beach Queen
Super 8 by Wyndham San Bruno /SF Intl Arpt West,https://exp.cdn-hotels.com/hotels/1000000/290000/283200/283107/eaa5bb54_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,421 El Camino Real San Bruno 94066 CA,San Bruno,11 miles to city center,1.4 miles to San Francisco International Airport (SFO),8.4,Very Good,Free parking,Airport transfer,Bathtub,Internet access,$86 ,San Bruno hotel in entertainment district,Room 1 King Bed Non Smoking
Cow Hollow Inn & Suites,https://exp.cdn-hotels.com/hotels/9000000/8640000/8635000/8634983/74dd7cc2_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,2190 Lombard Street San Francisco 94123 CA,Cow Hollow,1.8 miles to city center,13 miles to San Francisco International Airport (SFO),8.4,Very Good,Free parking,Restaurant,Bathtub,,$113 ,Hotel with restaurant near Presidio of San Francisco ,Room 1 King Bed Busy Lombard Street
Queen Anne Hotel,https://exp.cdn-hotels.com/hotels/1000000/10000/9400/9382/dc27bec9_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,1590 Sutter St San Francisco 94109 CA,Lower Pacific Heights,1.0 mile to city center,12 miles to San Francisco International Airport (SFO),8.8,Fabulous,Parking available,Bathtub,,,$169 ,Victorian hotel within walking distance of The Regency Ballroom,Standard Room 1 King Bed
Argonaut Hotel,https://exp.cdn-hotels.com/hotels/1000000/920000/915600/915510/9fce85de_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,495 Jefferson St San Francisco 94109 CA,Fisherman's Wharf,1.5 miles to city center,13 miles to San Francisco International Airport (SFO),9,Superb,Parking available,Pet-friendly,Gym,Restaurant,$299 ,Bayfront hotel with restaurant near Hyde Street Pier ,Standard Room 1 King Bed
Hotel Nikko San Francisco,https://exp.cdn-hotels.com/hotels/1000000/30000/23500/23406/6a2ba7f8_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,222 Mason St San Francisco 94102 CA,Downtown San Francisco,0.1 miles to city center,12 miles to San Francisco International Airport (SFO),9,Superb,Pool,Parking available,Pet-friendly,Gym,$250 ,Luxury hotel with indoor pool near SHN Curran Theatre ,Petite Queen
Royal Pacific Motor Inn,https://exp.cdn-hotels.com/hotels/3000000/2060000/2057700/2057641/7a0c4e20_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,661 Broadway San Francisco 94133 CA,Russian Hill,0.7 miles to city center,13 miles to San Francisco International Airport (SFO),,Good,Free parking,,,,$110 ,Within easy reach of Coit Tower,
Hotel Aura SFO,https://exp.cdn-hotels.com/hotels/2000000/1090000/1080700/1080604/adbfb37e_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,190 El Camino Real San Bruno 94066 CA,San Bruno,12 miles to city center,1.1 miles to San Francisco International Airport (SFO),8.6,Fabulous,Free parking,Airport transfer,Bathtub,,$105 ,3-star hotel in San Bruno,Standard Room 2 Queen Beds Accessible
citizenM San Francisco Union Square,https://exp.cdn-hotels.com/hotels/70000000/69560000/69551600/69551553/ce64f023_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,72 Ellis Street San Francisco 94102 CA,Union Square,0.1 miles to city center,12 miles to San Francisco International Airport (SFO),9.6,Exceptional,Gym,Restaurant,Internet access,,$169 ,4-star hotel with restaurant near Westfield San Francisco Centre ,
Francisco Bay Inn,https://exp.cdn-hotels.com/hotels/1000000/900000/890900/890830/d556c0a5_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,1501 Lombard St San Francisco 94123 CA,Cow Hollow,1.4 miles to city center,13 miles to San Francisco International Airport (SFO),,Good,Free parking,,,,$89 ,City-center hotel within easy reach of Lombard Street,Superior Room 1 King Bed Non Smoking
Hotel Zetta San Francisco a Viceroy Urban Retreat,https://exp.cdn-hotels.com/hotels/1000000/20000/18400/18320/dc83c0ae_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,55 5th St San Francisco 94103 CA,Downtown San Francisco,0.3 miles to city center,12 miles to San Francisco International Airport (SFO),9.2,Superb,Parking available,Pet-friendly,Gym,Restaurant,$285 ,4-star hotel with restaurant near Westfield San Francisco Centre ,Superior Room 1 King Bed
Hotel Abri - Union Square,https://exp.cdn-hotels.com/hotels/1000000/20000/15800/15779/05098316_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,127 Ellis Street San Francisco 94102 CA,Downtown San Francisco,0.1 miles to city center,12 miles to San Francisco International Airport (SFO),8.6,Fabulous,Parking available,Pet-friendly,Bathtub,Internet access,$149 ,Boutique hotel within walking distance of Warfield Theater,Deluxe Room 1 Queen Bed
Hotel Zoe Fisherman's Wharf,https://exp.cdn-hotels.com/hotels/1000000/10000/3600/3552/d2e1b7ff_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,425 North Point San Francisco 94133 CA,North Beach,1.4 miles to city center,13 miles to San Francisco International Airport (SFO),8.6,Fabulous,Parking available,Pet-friendly,Gym,Restaurant,$179 ,4-star hotel with 2 bars/lounges near Pier 39 ,Deluxe Room 1 Queen Bed
Lombard Plaza Motel,https://exp.cdn-hotels.com/hotels/8000000/7230000/7222300/7222261/b862b152_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,2026 Lombard Street San Francisco 94123 CA,Cow Hollow,1.7 miles to city center,13 miles to San Francisco International Airport (SFO),8.4,Very Good,Free parking,,,,$102 ,Within easy reach of Union Street,Traditional Room 1 King Bed Non Smoking
Grand Hyatt at SFO,https://exp.cdn-hotels.com/hotels/34000000/33470000/33462100/33462010/0c78b581_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,55 S McDonnell Rd San Francisco 94128 CA,San Francisco,12 miles to city center,0.3 miles to San Francisco International Airport (SFO),9.6,Exceptional,Parking available,Pet-friendly,Gym,Restaurant,$309 ,4-star San Francisco hotel with 1 restaurants connected to the airport,Room 1 King Bed Accessible (with Shower)
Inn on Broadway,https://exp.cdn-hotels.com/hotels/1000000/980000/979400/979347/0c03b931_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,2201 Van Ness Avenue San Francisco 94109 CA,Pacific Heights,1.0 mile to city center,13 miles to San Francisco International Airport (SFO),,Good,Free parking,Airport transfer,Bathtub,,$69 ,City-center motel within easy reach of Van Ness Avenue,Deluxe Room 1 King Bed
Alexis Park Hotel,https://exp.cdn-hotels.com/hotels/1000000/30000/27700/27629/908f5d72_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,825 Polk Street San Francisco 94109 CA,Little Saigon,0.6 miles to city center,12 miles to San Francisco International Airport (SFO),,Good,Parking available,Airport transfer,Bathtub,Internet access,$75 ,City-center hotel within walking distance of The Regency Ballroom,Standard Room 1 King Bed
Hotel Fusion,https://exp.cdn-hotels.com/hotels/1000000/880000/876400/876315/c768242f_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,140 Ellis Street San Francisco 94102 CA,Downtown San Francisco,0.1 miles to city center,12 miles to San Francisco International Airport (SFO),8.2,Very Good,Parking available,Gym,Restaurant,Bar,$127 ,3.5-star hotel with 2 bars/lounges near San Francisco Museum of Modern Art ,Classic Double Room 1 Double Bed
Infinity Hotel SF Ascend Hotel Collection,https://exp.cdn-hotels.com/hotels/1000000/920000/910300/910225/6fcf0612_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,2322 Lombard St San Francisco 94123 CA,Marina District,1.9 miles to city center,13 miles to San Francisco International Airport (SFO),8.6,Fabulous,Bathtub,,,,$155 ,Convenient to Presidio of San Francisco,Room 1 Queen Bed Accessible Non Smoking
Motel Capri,https://exp.cdn-hotels.com/hotels/3000000/2690000/2681700/2681602/57d029bb_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,2015 Greenwich St San Francisco 94123 CA,Cow Hollow,1.6 miles to city center,13 miles to San Francisco International Airport (SFO),,Good,Free parking,,,,$99 ,Convenient to Union Street,Standard Room 1 King Bed
Park Pointe Hotel,https://exp.cdn-hotels.com/hotels/1000000/10000/3400/3308/0084bec3_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,245 S Airport Blvd South San Francisco 94080 CA,South San Francisco,9.6 miles to city center,2.4 miles to San Francisco International Airport (SFO),,Good,Free parking,Bathtub,,,$72 ,No-frills South San Francisco hotel with conference center,Deluxe Queen Room - Not Park n Fly
Orchard Garden Hotel,https://exp.cdn-hotels.com/hotels/2000000/1520000/1516000/1515923/72e31d9d_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,466 Bush St San Francisco 94108 CA,Chinatown,0.3 miles to city center,12 miles to San Francisco International Airport (SFO),9.4,Exceptional,Parking available,Parking available,Gym,Restaurant,$215 ,4-star hotel with restaurant near 555 California Street ,Standard Room 1 King Bed
Edwardian Hotel,https://exp.cdn-hotels.com/hotels/1000000/60000/55400/55334/ef89b3ff_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,1668 Market Street San Francisco 94102 CA,Civic Center,1.2 miles to city center,11 miles to San Francisco International Airport (SFO),,Good,,,,,$106 ,Within easy reach of Van Ness Avenue,Twin Room Private Bathroom (Standard)
Wharf Inn,https://exp.cdn-hotels.com/hotels/1000000/890000/883600/883571/37e71d32_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,2601 Mason St San Francisco 94133 CA,North Beach,1.5 miles to city center,13 miles to San Francisco International Airport (SFO),,Good,Free parking,Pet-friendly,,,$169 ,City-center hotel steps from Wax Museum at Fisherman's Wharf ,Standard Room 1 King Bed
DoubleTree by Hilton San Francisco South Airport Blvd,https://exp.cdn-hotels.com/hotels/1000000/10000/500/487/1b8460cb_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,275 S Airport Blvd South San Francisco 94080 CA,South San Francisco,9.7 miles to city center,2.3 miles to San Francisco International Airport (SFO),8.4,Very Good,Parking available,Pet-friendly,Gym,Bar,$134 ,4-star hotel in South San Francisco with bar/lounge and conference center,Room 1 King Bed
The Westin San Francisco Airport,https://exp.cdn-hotels.com/hotels/1000000/10000/4800/4705/e782099f_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,1 Old Bayshore Hwy Millbrae 94030 CA,Millbrae,13 miles to city center,1.0 mile to San Francisco International Airport (SFO),8.6,Fabulous,Pool,Parking available,Pet-friendly,Airport transfer,$149 ,Bayfront hotel in Millbrae with indoor pool and restaurant,Standard Room 2 Double Beds Non Smoking
